movie_title,movie_imdb_url,bechdel_rating
Alita: Battle Angel  ,http://us.imdb.com/title/tt0437086/,3
American Woman ,http://us.imdb.com/title/tt9109492/,3
Captain Marvel  ,http://us.imdb.com/title/tt4154664/,3
Close  ,http://us.imdb.com/title/tt5316540/,3
Cold Pursuit  ,http://us.imdb.com/title/tt5719748/,1
Fighting with My Family  ,http://us.imdb.com/title/tt6513120/,3
How to Train Your Dragon: The Hidden World  ,http://us.imdb.com/title/tt2386490/,2
Isn't It Romantic ,http://us.imdb.com/title/tt2452244/,1
The Kid Who Would Be King  ,http://us.imdb.com/title/tt6811018/,1
Le chant du loup  ,http://us.imdb.com/title/tt7458762/,0
The Lego Movie 2: The Second Part  ,http://us.imdb.com/title/tt3513498/,3
Polar  ,http://us.imdb.com/title/tt4139588/,2
Serenity  ,http://us.imdb.com/title/tt6476140/,1
Soni  ,http://us.imdb.com/title/tt6078866/,3
The Wandering Earth (Liu Lang Di Qiu)  ,http://us.imdb.com/title/tt7605074/,3
We Are Little Zombies  ,http://us.imdb.com/title/tt9358120/,2
6 Balloons ,http://us.imdb.com/title/tt6142496/,3
A private war  ,http://us.imdb.com/title/tt2368254/,1
A Quiet Place  ,http://us.imdb.com/title/tt6644200/,1
A Simple Favor  ,http://us.imdb.com/title/tt7040874/,3
A Star Is Born  ,http://us.imdb.com/title/tt1517451/,3
A Wrinkle in Time  ,http://us.imdb.com/title/tt1620680/,3
Alex Strangelove  ,http://us.imdb.com/title/tt5688996/,2
Alpha ,http://us.imdb.com/title/tt4244998/,0
American Animals  ,http://us.imdb.com/title/tt6212478/,1
An Elephant Sitting Still (Da xiang xi di er zuo)  ,http://us.imdb.com/title/tt8020896/,0
Andid edlilega (And Breathe Normally)  ,http://us.imdb.com/title/tt6776106/,3
Annihilation  ,http://us.imdb.com/title/tt2798920/,3
Ant-Man and the Wasp  ,http://us.imdb.com/title/tt5095030/,3
Apostle  ,http://us.imdb.com/title/tt6217306/,3
Aquaman  ,http://us.imdb.com/title/tt1477834/,3
Assassination Nation  ,http://us.imdb.com/title/tt6205872/,3
Au poste!  ,http://us.imdb.com/title/tt7156222/,0
Avengers: Infinity War  ,http://us.imdb.com/title/tt4154756/,3
The Ballad of Buster Scruggs  ,http://us.imdb.com/title/tt6412452/,1
Bella Ciao!  ,http://us.imdb.com/title/tt5861756/,3
Ben Is Back  ,http://us.imdb.com/title/tt7545524/,3
Bird Box ,http://us.imdb.com/title/tt2737304/,3
Black Panther   ,http://us.imdb.com/title/tt1825683/,3
BlacKkKlansman  ,http://us.imdb.com/title/tt7349662/,3
Blindspotting  ,http://us.imdb.com/title/tt7242142/,1
Blockers  ,http://us.imdb.com/title/tt2531344/,3
Bohemian Rhapsody  ,http://us.imdb.com/title/tt1727824/,2
