movie_name,movie_yr,movie_directors,movie_writers
Alita: Battle Angel,2019,['Robert Rodriguez'],"['James Cameron', 'Laeta Kalogridis']"
American Woman,2019,['Semi Chellas'],['Semi Chellas']
Captain Marvel,2019,"['Anna Boden', 'Ryan Fleck']","['Anna Boden', 'Ryan Fleck']"
Close,2019,['Vicky Jewson'],"['Vicky Jewson', 'Rupert Whitaker']"
Cold Pursuit,2019,['Hans Petter Moland'],"['Frank Baldwin', 'Kim Fupz Aakeson']"
Fighting with My Family,2019,['Stephen Merchant'],['Stephen Merchant']
How to Train Your Dragon: The Hidden World,2019,['Dean DeBlois'],"['Dean DeBlois', 'Cressida Cowell']"
Isn't It Romantic,2019,['Todd Strauss-Schulson'],"['Erin Cardillo', 'Dana Fox']"
The Kid Who Would Be King,2019,['Joe Cornish'],['Joe Cornish']
Le chant du loup,2019,['Abel Lanzac'],['Abel Lanzac']
The Lego Movie 2: The Second Part,2019,['Mike Mitchell'],"['Phil Lord', 'Christopher Miller']"
Polar,2019,['Jonas Åkerlund'],"['Jayson Rothwell', 'Víctor Santos']"
Serenity,2019,['Steven Knight'],['Steven Knight']
Soni,2018,['Ivan Ayr'],"['Ivan Ayr', 'Kislay Kislay']"
Liu Lang Di Qiu,2019,['Frant Gwo'],"['Gong Geer', 'Junce Ye']"
Wî â Ritoru Zonbîzu,2019,['Makoto Nagahisa'],['Makoto Nagahisa']
6 Balloons,2018,['Marja-Lewis Ryan'],['Marja-Lewis Ryan']
A Private War,2018,['Matthew Heineman'],"['Marie Brenner', 'Arash Amel']"
A Quiet Place,2018,['John Krasinski'],"['Bryan Woods', 'Scott Beck']"
A Simple Favor,2018,['Paul Feig'],"['Jessica Sharzer', 'Darcey Bell']"
A Star Is Born,2018,['Bradley Cooper'],"['Eric Roth', 'Bradley Cooper']"
A Wrinkle in Time,2018,['Ava DuVernay'],"['Jennifer Lee', 'Jeff Stockwell']"
Alex Strangelove,2018,['Craig Johnson'],['Craig Johnson']
Alpha,2018,['Albert Hughes'],"['Daniele Sebastian Wiedenhaupt', 'Albert Hughes']"
American Animals,2018,['Bart Layton'],['Bart Layton']
An Elephant Sitting Still,2018,['Bo Hu'],['Bo Hu']
Andið eðlilega,2018,['Isold Uggadottir'],['Isold Uggadottir']
Annihilation,2018,['Alex Garland'],"['Alex Garland', 'Jeff VanderMeer']"
Ant-Man and the Wasp,2018,['Peyton Reed'],"['Chris McKenna', 'Erik Sommers']"
Apostle,2018,['Gareth Evans'],['Gareth Evans']
Aquaman,2018,['James Wan'],"['David Leslie Johnson-McGoldrick', 'Will Beall']"
Assassination Nation,2018,['Sam Levinson'],['Sam Levinson']
Au poste!,2018,['Quentin Dupieux'],['Quentin Dupieux']
Avengers: Infinity War,2018,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']"
The Ballad of Buster Scruggs,2018,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen']"
Bella Ciao!,2018,['Carolyn Combs'],['Michael Springate']
Ben Is Back,2018,['Peter Hedges'],['Peter Hedges']
Bird Box,2018,['Susanne Bier'],"['Eric Heisserer', 'Josh Malerman']"
Black Panther,2018,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole']"
BlacKkKlansman,2018,['Spike Lee'],"['Charlie Wachtel', 'David Rabinowitz']"
Blindspotting,2018,['Carlos López Estrada'],"['Rafael Casal', 'Daveed Diggs']"
Blockers,2018,['Kay Cannon'],"['Brian Kehoe', 'Jim Kehoe']"
Bohemian Rhapsody,2018,['Bryan Singer'],"['Anthony McCarten', 'Peter Morgan']"
Book Club,2018,['Bill Holderman'],"['Bill Holderman', 'Erin Simms']"
Bullitt County,2018,['David McCracken'],['David McCracken']
Bumblebee,2018,['Travis Knight'],"['Christina Hodson', 'Christina Hodson']"
Burning,2018,['Chang-dong Lee'],"['Jungmi Oh', 'Chang-dong Lee']"
Cam,2018,['Daniel Goldhaber'],"['Isa Mazzei', 'Daniel Goldhaber']"
Can You Ever Forgive Me?,2018,['Marielle Heller'],"['Nicole Holofcener', 'Jeff Whitty']"
Carmen y Lola,2018,['Arantxa Echevarría'],['Arantxa Echevarría']
Christopher Robin,2018,['Marc Forster'],"['A.A. Milne', 'Ernest Shepard']"
The Cloverfield Paradox,2018,['Julius Onah'],"['Oren Uziel', 'Oren Uziel']"
Cold War,2018,['Pawel Pawlikowski'],"['Pawel Pawlikowski', 'Pawel Pawlikowski']"
Colette,2018,['Wash Westmoreland'],"['Richard Glatzer', 'Wash Westmoreland']"
Crazy Rich Asians,2018,['Jon M. Chu'],"['Peter Chiarelli', 'Adele Lim']"
Creed II,2018,['Steven Caple Jr.'],"['Cheo Hodari Coker', 'Ryan Coogler']"
The Darkest Minds,2018,['Jennifer Yuh Nelson'],"['Chad Hodge', 'Alexandra Bracken']"
Dead in a Week: Or Your Money Back,2018,['Tom Edmunds'],['Tom Edmunds']
Deadpool 2,2018,['David Leitch'],"['Rhett Reese', 'Paul Wernick']"
Dog Days,2018,['Ken Marino'],"['Elissa Matsueda', 'Erica Oyama']"
Don't Leave Home,2018,['Michael Tully'],['Michael Tully']
Dude,2018,['Olivia Milch'],"['Olivia Milch', 'Olivia Milch']"
Dumplin',2018,['Anne Fletcher'],"['Kristin Hahn', 'Julie Murphy']"
Early Man,2018,['Nick Park'],"['Mark Burton', 'James Higginson']"
Eighth Grade,2018,['Bo Burnham'],['Bo Burnham']
En guerre,2018,['Stéphane Brizé'],"['Ralph Blindauer', 'Stéphane Brizé']"
En liberté!,2018,['Pierre Salvadori'],"['Benjamin Charbit', 'Benoît Graffin']"
Fantastic Beasts: The Crimes of Grindelwald,2018,['David Yates'],"['J.K. Rowling', 'J.K. Rowling']"
The Favourite,2018,['Yorgos Lanthimos'],"['Deborah Davis', 'Tony McNamara']"
First Man,2018,['Damien Chazelle'],"['Josh Singer', 'James R. Hansen']"
First Match,2018,['Olivia Newman'],['Olivia Newman']
The First Purge,2018,['Gerard McMurray'],['James DeMonaco']
Free Solo,2018,"['Jimmy Chin', 'Elizabeth Chai Vasarhelyi']","['Alex Honnold', 'Tommy Caldwell', 'Jimmy Chin']"
Game Night,2018,"['John Francis Daley', 'Jonathan Goldstein']",['Mark Perez']
The Girl in the Spider's Web,2018,['Fede Alvarez'],"['David Lagercrantz', 'Stieg Larsson']"
Green Book,2018,['Peter Farrelly'],"['Nick Vallelonga', 'Brian Hayes Currie']"
Greta,2018,['Neil Jordan'],"['Ray Wright', 'Neil Jordan']"
The Guernsey Literary and Potato Peel Pie Society,2018,['Mike Newell'],"['Don Roos', 'Kevin Hood']"
Halloween,2018,['David Gordon Green'],"['John Carpenter', 'Debra Hill']"
The Hate U Give,2018,['George Tillman Jr.'],"['Audrey Wells', 'Angie Thomas']"
Hearts Beat Loud,2018,['Brett Haley'],"['Brett Haley', 'Marc Basch']"
Las herederas,2018,['Marcelo Martinessi'],['Marcelo Martinessi']
Hereditary,2018,['Ari Aster'],['Ari Aster']
Hold the Dark,2018,['Jeremy Saulnier'],"['Macon Blair', 'William Giraldi']"
The House with a Clock in Its Walls,2018,['Eli Roth'],"['Eric Kripke', 'John Bellairs']"
I Feel Pretty,2018,"['Abby Kohn', 'Marc Silverstein']","['Abby Kohn', 'Marc Silverstein']"
If Beale Street Could Talk,2018,['Barry Jenkins'],"['Barry Jenkins', 'James Baldwin']"
Incredibles 2,2018,['Brad Bird'],['Brad Bird']
Instant Family,2018,['Sean Anders'],"['Sean Anders', 'John Morris']"
Isle of Dogs,2018,['Wes Anderson'],"['Wes Anderson', 'Roman Coppola']"
Jefe,2018,['Sergio Barrejón'],"['Natxo López', 'Marta Piedade']"
Johnny English Strikes Again,2018,['David Kerr'],['William Davies']
Jurassic World: Fallen Kingdom,2018,['J.A. Bayona'],"['Derek Connolly', 'Colin Trevorrow']"
Kaala,2018,['Pa. Ranjith'],"['Shivgopal Krishna', 'Maginan']"
The Kissing Booth,2018,['Vince Marcello'],"['Vince Marcello', 'Beth Reekles']"
L'animale,2018,['Katharina Mückstein'],['Katharina Mückstein']
La chute de l'empire américain,2018,['Denys Arcand'],['Denys Arcand']
Le monde est à toi,2018,['Romain Gavras'],"['Karim Boukercha', 'Karim Boukercha']"
Leave No Trace,2018,['Debra Granik'],"['Debra Granik', 'Anne Rosellini']"
Life of the Party,2018,['Ben Falcone'],"['Melissa McCarthy', 'Ben Falcone']"
Love Per Square Foot,2018,['Anand Tiwari'],"['Asif Ali Beg', 'Anand Tiwari']"
"Love, Simon",2018,['Greg Berlanti'],"['Elizabeth Berger', 'Isaac Aptaker']"
Mamma Mia! Here We Go Again,2018,['Ol Parker'],"['Ol Parker', 'Richard Curtis']"
The Man Who Killed Don Quixote,2018,['Terry Gilliam'],"['Terry Gilliam', 'Tony Grisoni']"
Mandy,2018,['Panos Cosmatos'],"['Panos Cosmatos', 'Aaron Stewart-Ahn']"
Mary Poppins Returns,2018,['Rob Marshall'],"['P.L. Travers', 'David Magee']"
Mary Queen of Scots,2018,['Josie Rourke'],"['Beau Willimon', 'John Guy']"
Maze Runner: The Death Cure,2018,['Wes Ball'],"['T.S. Nowlin', 'James Dashner']"
The Meg,2018,['Jon Turteltaub'],"['Dean Georgaris', 'Jon Hoeber']"
Mid90s,2018,['Jonah Hill'],['Jonah Hill']
The Miracle Season,2018,['Sean McNamara'],"['David Aaron Cohen', 'Elissa Matsueda']"
The Miseducation of Cameron Post,2018,['Desiree Akhavan'],"['Desiree Akhavan', 'Cecilia Frugiuele']"
Mission: Impossible - Fallout,2018,['Christopher McQuarrie'],"['Bruce Geller', 'Christopher McQuarrie']"
Mortal Engines,2018,['Christian Rivers'],"['Fran Walsh', 'Philippa Boyens']"
The Mule,2018,['Clint Eastwood'],"['Sam Dolnick', 'Nick Schenk']"
My Hero Academia: Two Heroes,2018,['Kenji Nagasaki'],"['Kôhei Horikoshi', 'Yôsuke Kuroda']"
My Little Pony Equestria Girls: Forgotten Friendship,2018,"['Ishi Rudell', 'Katrina Hadley']",['Nick Confalone']
Nappily Ever After,2018,['Haifaa Al-Mansour'],"['Adam Brooks', 'Cee Marcellus']"
The Nutcracker and the Four Realms,2018,"['Lasse Hallström', 'Joe Johnston']","['Ashleigh Powell', 'Ashleigh Powell']"
Ocean's 8,2018,['Gary Ross'],"['Gary Ross', 'Olivia Milch']"
The Old Man & the Gun,2018,['David Lowery'],"['David Lowery', 'David Grann']"
On the Basis of Sex,2018,['Mimi Leder'],['Daniel Stiepleman']
Overboard,2018,['Rob Greenberg'],"['Bob Fisher', 'Rob Greenberg']"
Pacific Rim: Uprising,2018,['Steven S. DeKnight'],"['Steven S. DeKnight', 'Emily Carmichael']"
Pass Over,2018,"['Spike Lee', 'Danya Taymor']",['Antoinette Nwandu']
Patient Zero,2018,['Stefan Ruzowitzky'],['Mike Le']
Please Stand By,2017,['Ben Lewin'],"['Michael Golamco', 'Michael Golamco']"
The Predator,2018,['Shane Black'],"['Fred Dekker', 'Shane Black']"
Quién te cantará,2018,['Carlos Vermut'],['Carlos Vermut']
Rafiki,2018,['Wanuri Kahiu'],"['Wanuri Kahiu', 'Jenna Cato Bass']"
Ralph Breaks the Internet,2018,"['Phil Johnston', 'Rich Moore']","['Phil Johnston', 'Pamela Ribon']"
Rampage,2018,['Brad Peyton'],"['Ryan Engle', 'Carlton Cuse']"
Ready Player One,2018,['Steven Spielberg'],"['Zak Penn', 'Ernest Cline']"
Red Sparrow,2018,['Francis Lawrence'],"['Justin Haythe', 'Jason Matthews']"
Robin Hood,2018,['Otto Bathurst'],"['Ben Chandler', 'David James Kelly']"
Roma,2018,['Alfonso Cuarón'],['Alfonso Cuarón']
Searching,2018,['Aneesh Chaganty'],"['Aneesh Chaganty', 'Sev Ohanian']"
Set It Up,2018,['Claire Scanlon'],['Katie Silberman']
Shéhérazade,2018,['Jean-Bernard Marlin'],"['Jean-Bernard Marlin', 'Catherine Paillé']"
Shoplifters,2018,['Hirokazu Koreeda'],"['Hirokazu Koreeda', 'Hirokazu Koreeda']"
Sierra Burgess Is a Loser,2018,['Ian Samuels'],['Lindsey Beer']
The Sisters Brothers,2018,['Jacques Audiard'],"['Jacques Audiard', 'Thomas Bidegain']"
Skate Kitchen,2018,['Crystal Moselle'],"['Crystal Moselle', 'Crystal Moselle']"
Slender Man,2018,['Sylvain White'],"['David Birke', 'Victor Surge']"
Smallfoot,2018,"['Karey Kirkpatrick', 'Jason Reisig']","['Karey Kirkpatrick', 'Clare Sera']"
Solo: A Star Wars Story,2018,['Ron Howard'],"['Jonathan Kasdan', 'Lawrence Kasdan']"
Sorry to Bother You,2018,['Boots Riley'],['Boots Riley']
Spider-Man: Into the Spider-Verse,2018,"['Bob Persichetti', 'Peter Ramsey', '1 more credit']","['Phil Lord', 'Rodney Rothman']"
The Spy Who Dumped Me,2018,['Susanna Fogel'],"['Susanna Fogel', 'David Iserson']"
Stan & Ollie,2018,['Jon S. Baird'],"['Jeff Pope', ""'A.J.' Marriot""]"
Suspiria,2018,['Luca Guadagnino'],"['Dario Argento', 'Daria Nicolodi']"
Tag,2018,['Jeff Tomsic'],"['Rob McKittrick', 'Mark Steilen']"
Teen Titans Go! To the Movies,2018,"['Aaron Horvath', 'Peter Rida Michail']","['Michael Jelenic', 'Aaron Horvath']"
The Titan,2018,['Lennart Ruff'],"['Max Hurwitz', 'Arash Amel']"
To All the Boys I've Loved Before,2018,['Susan Johnson'],"['Sofia Alvarez', 'Jenny Han']"
Tomb Raider,2018,['Roar Uthaug'],"['Geneva Robertson-Dworet', 'Alastair Siddons']"
Truth or Dare,2018,['Jeff Wadlow'],"['Michael Reisz', 'Jillian Jacobs']"
Tully,2018,['Jason Reitman'],['Diablo Cody']
Venom,2018,['Ruben Fleischer'],"['Jeff Pinkner', 'Scott Rosenberg']"
Vice,2018,['Adam McKay'],['Adam McKay']
Vox Lux,2018,['Brady Corbet'],['Brady Corbet']
When We First Met,2018,['Ari Sandel'],['John Whittington']
Widows,2018,['Steve McQueen'],"['Gillian Flynn', 'Steve McQueen']"
Ahlat Agaci,2018,['Nuri Bilge Ceylan'],"['Akin Aksu', 'Ebru Ceylan']"
Wildling,2018,['Fritz Böhm'],"['Fritz Böhm', 'Florian Eder']"
Kona fer í stríð,2018,['Benedikt Erlingsson'],"['Ólafur Egilsson', 'Benedikt Erlingsson']"
Z-O-M-B-I-E-S,2018,['Paul Hoen'],"['David Light', 'Joseph Raso']"
1922,2017,['Zak Hilditch'],"['Stephen King', 'Zak Hilditch']"
47 Meters Down,2017,['Johannes Roberts'],"['Johannes Roberts', 'Ernest Riera']"
6 Days,2017,['Toa Fraser'],['Glenn Standring']
A Bad Moms Christmas,2017,"['Jon Lucas', 'Scott Moore']","['Jon Lucas', 'Scott Moore']"
