movie_name,movie_yr,movie_directors,movie_writers
Stardust,2007,['Matthew Vaughn'],"['Jane Goldman', 'Matthew Vaughn']"
Steam,2007,['Kyle Schickner'],['Kyle Schickner']
Sunshine,2007,['Danny Boyle'],['Alex Garland']
Superbad,2007,['Greg Mottola'],"['Seth Rogen', 'Evan Goldberg']"
Sweeney Todd: The Demon Barber of Fleet Street,2007,['Tim Burton'],"['John Logan', 'Hugh Wheeler']"
Sword of the Stranger,2007,['Masahiro Andô'],['Fumihiko Takayama']
Sydney White,2007,['Joe Nussbaum'],['Chad Gomez Creasey']
Teeth,2007,['Mitchell Lichtenstein'],['Mitchell Lichtenstein']
Ten Inch Hero,2007,['David Mackay'],['Betsy Morris']
Then She Found Me,2007,['Helen Hunt'],"['Alice Arlen', 'Victor Levin']"
There Will Be Blood,2007,['Paul Thomas Anderson'],"['Paul Thomas Anderson', 'Upton Sinclair']"
Los cronocrímenes,2007,['Nacho Vigalondo'],['Nacho Vigalondo']
TMNT,2007,['Kevin Munroe'],"['Kevin Munroe', 'Peter Laird']"
Towelhead,2007,['Alan Ball'],"['Alan Ball', 'Alicia Erian']"
The Tracey Fragments,2007,['Bruce McDonald'],"['Maureen Medved', 'Maureen Medved']"
Transformers,2007,['Michael Bay'],"['Roberto Orci', 'Alex Kurtzman']"
Transmorphers,2007,['Leigh Scott'],['Leigh Scott']
Trick 'r Treat,2007,['Michael Dougherty'],['Michael Dougherty']
Sztuczki,2007,['Andrzej Jakimowski'],['Andrzej Jakimowski']
Elite Squad,2007,['José Padilha'],"['André Batista', 'Bráulio Mantovani']"
Vacancy,2007,['Nimród Antal'],['Mark L. Smith']
Bekushiru: 2077 Nihon sakoku,2007,['Fumihiko Sori'],"['Fumihiko Sori', 'Haruka Handa']"
The Visitor,2007,['Tom McCarthy'],['Tom McCarthy']
Viva,2007,['Anna Biller'],['Anna Biller']
Waitress,2007,['Adrienne Shelly'],['Adrienne Shelly']
Watching the Detectives,2007,['Paul Soter'],['Paul Soter']
The Water Horse,2007,['Jay Russell'],"['Robert Nelson Jacobs', 'Dick King-Smith']"
We Are the Strange,2007,['M. dot Strange'],['M. dot Strange']
We Own the Night,2007,['James Gray'],['James Gray']
Quiet room ni yôkoso,2007,['Suzuki Matsuo'],"['Suzuki Matsuo', 'Suzuki Matsuo']"
Whisper,2007,['Stewart Hendler'],['Christopher Borrelli']
White Noise 2: The Light,2007,['Patrick Lussier'],['Matt Venne']
Wild Hogs,2007,['Walt Becker'],['Brad Copeland']
Wool 100%,2006,['Mai Tominaga'],['Mai Tominaga']
The World Unseen,2007,['Shamim Sarif'],"['Shamim Sarif', 'Shamim Sarif']"
XXY,2007,['Lucía Puenzo'],"['Lucía Puenzo', 'Sergio Bizzio']"
Year of the Dog,2007,['Mike White'],['Mike White']
Cheon-nyeon-yeo-woo-yeo-woo-bi,2007,['Seong-gang Lee'],['Seong-gang Lee']
YPF,2007,['Martin Gero'],"['Aaron Abrams', 'Martin Gero']"
Zodiac,2007,['David Fincher'],"['James Vanderbilt', 'Robert Graysmith']"
[Rec],2007,"['Jaume Balagueró', 'Paco Plaza']","['Jaume Balagueró', 'Luiso Berdejo']"
Family     ,None,['John Landis'],"['Mick Garris', 'Brent Hanley']"
Haeckel's Tale     ,None,['John McNaughton'],"['Mick Garris', 'Mick Garris']"
Imprint     ,None,['Takashi Miike'],"['Mick Garris', 'Daisuke Tengan']"
Pelts     ,None,['Dario Argento'],"['Mick Garris', 'Matt Venne']"
Pick Me Up     ,None,['Larry Cohen'],"['Mick Garris', 'David J. Schow']"
Pro-Life     ,None,['John Carpenter'],"['Mick Garris', 'Drew McWeeny']"
Sounds Like     ,None,['Brad Anderson'],"['Mick Garris', 'Brad Anderson']"
The Screwfly Solution     ,None,['Joe Dante'],"['Mick Garris', 'Sam Hamm']"
The V Word     ,None,['Ernest R. Dickerson'],"['Mick Garris', 'Mick Garris']"
Valerie on the Stairs     ,None,['Mick Garris'],"['Mick Garris', 'Mick Garris']"
300,2006,['Zack Snyder'],"['Zack Snyder', 'Kurt Johnstad']"
5ive Girls,2006,['Warren P. Sonoda'],['Warren P. Sonoda']
A Crime,2006,['Manuel Pradal'],"['Tonino Benacquista', 'Manuel Pradal']"
Quelques jours en septembre,2006,['Santiago Amigorena'],['Santiago Amigorena']
12:08 East of Bucharest,2006,['Corneliu Porumboiu'],['Corneliu Porumboiu']
A Guide to Recognizing Your Saints,2006,['Dito Montiel'],"['Dito Montiel', 'Dito Montiel']"
A Prairie Home Companion,2006,['Robert Altman'],"['Garrison Keillor', 'Garrison Keillor']"
A Scanner Darkly,2006,['Richard Linklater'],"['Philip K. Dick', 'Richard Linklater']"
Accepted,2006,['Steve Pink'],"['Adam Cooper', 'Bill Collage']"
After the Wedding,2006,['Susanne Bier'],"['Susanne Bier', 'Anders Thomas Jensen']"
Akeelah and the Bee,2006,['Doug Atchison'],['Doug Atchison']
All the King's Men,2006,['Steven Zaillian'],"['Steven Zaillian', 'Robert Penn Warren']"
Altered,2006,['Eduardo Sánchez'],"['Jamie Nash', 'Jamie Nash']"
Amazing Grace,2006,['Michael Apted'],['Steven Knight']
Another Gay Movie,2006,['Todd Stephens'],"['Todd Stephens', 'Tim Kaltenecker']"
The Ant Bully,2006,['John A. Davis'],"['John A. Davis', 'John Nickle']"
Apart from That,2006,"['Jennifer Shainin', 'Randy Walker']","['Randy Walker', 'Jennifer Shainin']"
Apocalypto,2006,['Mel Gibson'],"['Mel Gibson', 'Farhad Safinia']"
Aquamarine,2006,['Elizabeth Allen Rosenbaum'],"['John Quaintance', 'Jessica Bendinger']"
The Architect,2006,['Matt Tauber'],"['David Greig', 'Matt Tauber']"
Art School Confidential,2006,['Terry Zwigoff'],"['Daniel Clowes', 'Daniel Clowes']"
Arthur and the Invisibles,2006,['Luc Besson'],"['Céline Garcia', 'Luc Besson']"
