Number,Movie,IMDB-link,Bechdel-Rating,Release-Year,Directors,Writers
1,Alita: Battle Angel  ,http://us.imdb.com/title/tt0437086/,3,2019,['Robert Rodriguez'],"['James Cameron', 'Laeta Kalogridis']"
2,American Woman ,http://us.imdb.com/title/tt9109492/,3,2019,['Semi Chellas'],['Semi Chellas']
3,Captain Marvel  ,http://us.imdb.com/title/tt4154664/,3,2019,"['Anna Boden', 'Ryan Fleck']","['Anna Boden', 'Ryan Fleck']"
4,Close  ,http://us.imdb.com/title/tt5316540/,3,2019,['Vicky Jewson'],"['Vicky Jewson', 'Rupert Whitaker']"
5,Cold Pursuit  ,http://us.imdb.com/title/tt5719748/,1,2019,['Hans Petter Moland'],"['Frank Baldwin', 'Kim Fupz Aakeson']"
6,Fighting with My Family  ,http://us.imdb.com/title/tt6513120/,3,2019,['Stephen Merchant'],['Stephen Merchant']
7,How to Train Your Dragon: The Hidden World  ,http://us.imdb.com/title/tt2386490/,2,2019,['Dean DeBlois'],"['Dean DeBlois', 'Cressida Cowell']"
8,Isn't It Romantic ,http://us.imdb.com/title/tt2452244/,1,2019,['Todd Strauss-Schulson'],"['Erin Cardillo', 'Dana Fox']"
9,The Kid Who Would Be King  ,http://us.imdb.com/title/tt6811018/,1,2019,['Joe Cornish'],['Joe Cornish']
10,Le chant du loup  ,http://us.imdb.com/title/tt7458762/,0,2019,['Abel Lanzac'],['Abel Lanzac']
11,The Lego Movie 2: The Second Part  ,http://us.imdb.com/title/tt3513498/,3,2019,['Mike Mitchell'],"['Phil Lord', 'Christopher Miller']"
12,Polar  ,http://us.imdb.com/title/tt4139588/,2,2019,['Jonas Åkerlund'],"['Jayson Rothwell', 'Víctor Santos']"
13,Serenity  ,http://us.imdb.com/title/tt6476140/,1,2019,['Steven Knight'],['Steven Knight']
14,Soni  ,http://us.imdb.com/title/tt6078866/,3,2018,['Ivan Ayr'],"['Ivan Ayr', 'Kislay Kislay']"
15,The Wandering Earth (Liu Lang Di Qiu)  ,http://us.imdb.com/title/tt7605074/,3,2019,['Frant Gwo'],"['Gong Geer', 'Junce Ye']"
16,We Are Little Zombies  ,http://us.imdb.com/title/tt9358120/,2,2019,['Makoto Nagahisa'],['Makoto Nagahisa']
17,6 Balloons ,http://us.imdb.com/title/tt6142496/,3,2018,['Marja-Lewis Ryan'],['Marja-Lewis Ryan']
18,A private war  ,http://us.imdb.com/title/tt2368254/,1,2018,['Matthew Heineman'],"['Marie Brenner', 'Arash Amel']"
19,A Quiet Place  ,http://us.imdb.com/title/tt6644200/,1,2018,['John Krasinski'],"['Bryan Woods', 'Scott Beck']"
20,A Simple Favor  ,http://us.imdb.com/title/tt7040874/,3,2018,['Paul Feig'],"['Jessica Sharzer', 'Darcey Bell']"
21,A Star Is Born  ,http://us.imdb.com/title/tt1517451/,3,2018,['Bradley Cooper'],"['Eric Roth', 'Bradley Cooper']"
22,A Wrinkle in Time  ,http://us.imdb.com/title/tt1620680/,3,2018,['Ava DuVernay'],"['Jennifer Lee', 'Jeff Stockwell']"
